Time,User,Tweet
2023-04-17T08:30:48.000Z,1519017314028593155,"#CADCHF ALL targets hit! 70 pips profit✅🎯

Join our FREE telegram channel. Link in the bio.

#xauusd #eurusd #eurjpy #usdcad #usdjpy #gbpusd #forexsignals #forextrading #eth #nfts #crypto #tsla #aapl #spy #nasdaq #dji #spx https://t.co/OijMR4wmDF"
2023-04-17T08:30:26.000Z,1486994027979620353,"RT @lastadam: $TSLA #TSLA 4/21 4DTE 68% Probability of Market Maker Move = 171.2-198.8 based on tonight's options premiums @ 93.28% IV. 

g…"
2023-04-17T08:30:25.000Z,49357636,"RT @Gusfrin92486024: スペースXのスターシップ飛行テスト、本日20時すぎより公式ライブ中継開始
https://t.co/6SAxBBcKJh

スペースシャトルと根本的な違いはスターシップは火星で都市を作ることを目的に設計されているため、100トン以上の積…"
2023-04-17T08:30:08.000Z,2598547074,"Tesla pre-market     
#TSLA $TSLA 186.39$ +0.75% https://t.co/Qu8E5jjvhn"
2023-04-17T08:29:34.000Z,1470307035120279552,"Get ready for an exciting week of earnings releases featuring top companies such as Tesla #TSLA, Charles Schwab #SCHW, Bank of America #BAC, Netflix #NFLX, Johnson &amp; Johnson #JNJ, M&amp;T Bank #MTB, Goldman Sachs #GS, State Street #STT, Lockheed Martin #LMT, and TSMC #TSM. https://t.co/4KRsp6mWGs"
2023-04-17T08:23:50.000Z,1397292431704461315,"RT @adamtaha_: Get ahead with the weekly market outlook for the week beginning April 17th 2023 
#stockstowatch #earnings #tsla #gs #nflx #s…"
2023-04-17T08:23:39.000Z,969039911004368896,RT @Businesblog5: Tesla Model 3 project breaks record https://t.co/YCvbQhZFsC @Tesla #TSLA https://t.co/KCwHKxAOS1
2023-04-17T08:23:03.000Z,1357701211374387204,"RT @ins_hea: 🔴#VeilleINSHEA 🔴 Le bulletin de veille Troubles spécifiques du #langage et des apprentissages est disponible !
(#dyslexie, #dy…"
2023-04-17T08:21:59.000Z,406942105,"RT @Gusfrin92486024: スペースXのスターシップ飛行テスト、本日20時すぎより公式ライブ中継開始
https://t.co/6SAxBBcKJh

スペースシャトルと根本的な違いはスターシップは火星で都市を作ることを目的に設計されているため、100トン以上の積…"
2023-04-17T08:19:10.000Z,1455535332737302537,Day 50: less is more #health #beards #buildabeard #trending #viral #beachbody #TSLA #motivation #toughlovetim #fitness #spartan #bodi #timspiration #dadbod #dad #oracleinvestments #yoga #financialfreedom #hiking https://t.co/IWCV2R6gcJ
2023-04-17T08:18:59.000Z,3050163533,RT @Businesblog5: Tesla Model 3 project breaks record https://t.co/YCvbQhZFsC @Tesla #TSLA https://t.co/KCwHKxAOS1
2023-04-17T08:17:53.000Z,1227526160910671873,"#NZDJPY ALL targets hit! 180 pips profit🎯

Join our FREE telegram channel. Link in the bio.

#xauusd #eurusd #eurjpy #usdcad #usdjpy #gbpusd #amzn #qqq #goog #tsla #aapl #spy #forextrading #msft #nvda #wmt #btc #bitcoin #nasdaq #dji #spx https://t.co/Iu31KBT1jX"
2023-04-17T08:12:45.000Z,3172066817,"What to watch in the markets this week?
Learn more from our #Saxostrats : https://t.co/5AivloHqoo

#saxohk #saxobeinvested #marketinsights #Fed #PMI #TSLA #NFLX https://t.co/OzHuxnX2sq"
2023-04-17T08:10:24.000Z,1230711875232391169,"#NZDJPY ALL targets hit! 180 pips profit🎯

Join our FREE telegram channel. Link in the bio.

#xauusd #eurusd #eurjpy #usdcad #usdjpy #gbpusd #forextrading #eth #nfts #crypto #tsla #aapl #spy #nasdaq #dji #spx #msft #nvda #wmt https://t.co/WJmIz7C19f"
2023-04-17T08:03:57.000Z,1640606690788663297,"#NZDJPY ALL targets hit! 180 pips profit🎯

Join our FREE telegram channel. Link in the bio.

#xauusd #eurusd #eurjpy #usdcad #usdjpy #gbpusd #usoil #crudeoil #msft #nvda #wmt #tsla #aapl #spy #forextrading #btc #bitcoin #nasdaq #dji #spx https://t.co/qh1lWooe1o"
2023-04-17T08:00:22.000Z,1110264693866807296,"RT @SERobinsonJr: My Starship brings all the Teslas to the yard.
Damn right.
It's better than... Anyway, a Tesla thread. 
Watch all of the…"
2023-04-17T08:00:00.000Z,1552633584388907009,"By 2025, more than 75% of new cars sold in Europe are projected to have some degree of electrification.

What will #TSLA 's market share be?👀

#2024Model3 #NewModel3 https://t.co/7J8G4a591w"
2023-04-17T07:57:43.000Z,1510660558068097032,"#EURUSD ALL targets hit! 150 pips profit🎯

Join our FREE telegram channel. Link in the bio.

#xauusd #eurjpy #usdcad #usdjpy #gbpusd #forexsignals #usoil #crudeoil #amzn #qqq #goog #tsla #aapl #spy #forextrading https://t.co/ros6RO05zm"
2023-04-17T07:57:07.000Z,1646654350557687809,@SawyerMerritt Great idea for Tesla in order to make a great entry to the massive latin market! Imo Mexico will be a great and profitable market... #TSLA
2023-04-17T07:53:48.000Z,235718125,"RT @jayzpio: Reading #TSLA 🔋🚗 financial report with @LangChainAI 🦜⛓️ @streamlit  and Chatgpt

Fun weekend project, but 🤯. Imagine no longer…"
2023-04-17T07:46:36.000Z,1472562519671775237,"RT @mrvuxxx: Soon I’ll be able to buy $1 of #TSLA @elonmusk 😄 maybe $2. 

Team $SOLO #Sologenic #XRPL https://t.co/tU5bYG8JoL"
2023-04-17T07:43:13.000Z,1228621647629803520,"#EURJPY ALL targets hit smoothly! 270 pips profit✅🎯

Join our FREE telegram channel. Link in the bio.

#xauusd #eurusd #usdcad #usdjpy #gbpusd #forextrading #eth #nfts #crypto #tsla #aapl #spy #nasdaq #dji #spx #msft #nvda #wmt https://t.co/Ov10GDqtLf"
2023-04-17T07:39:41.000Z,221537332,"Breakout stocks for April 17th ↓

https://t.co/yPGkdua33x

#stockmarket #breakoutstocks #stocks #daytrading #COIN #TSLA"
2023-04-17T07:37:47.000Z,1514641357922570242,"#EURUSD ALL targets hit! 150 pips profit🎯

Join our FREE telegram channel. Link in the bio.

#xauusd #eurjpy #usdcad #usdjpy #gbpusd #amzn #qqq #goog #tsla #aapl #spy #forextrading #eth #nfts #crypto #btc #bitcoin #nasdaq #dji #spx https://t.co/YBHVINifKh"
2023-04-17T07:30:06.000Z,1078801530,"RT @mrvuxxx: Soon I’ll be able to buy $1 of #TSLA @elonmusk 😄 maybe $2. 

Team $SOLO #Sologenic #XRPL https://t.co/tU5bYG8JoL"
2023-04-17T07:24:53.000Z,1630804259246845953,"#GBPAUD ALL targets hit! 185 pips profit✅🎯

Join our FREE telegram channel. Link in the bio.

#xauusd #eurusd #eurjpy #usdcad #usdjpy #gbpusd #msft #nvda #wmt #tsla #aapl #spy #forextrading #usoil #crudeoil #btc #bitcoin #nasdaq #dji #spx https://t.co/Ld1nZhyA19"
2023-04-17T07:21:44.000Z,1391969563349299201,"A wave of price cuts by #Tesla #NASDAQ #TSLA is a ""warning"" for rival manufacturers of electric vehicles, the chief executive of French car maker Renault (EPA:RENA)'s flagship brand said on Monday."
2023-04-17T07:18:57.000Z,38840421,"RT @mrvuxxx: Soon I’ll be able to buy $1 of #TSLA @elonmusk 😄 maybe $2. 

Team $SOLO #Sologenic #XRPL https://t.co/tU5bYG8JoL"
2023-04-17T07:17:04.000Z,1619434634944647170,"I'll be covering some of the stocks im looking on today:
#UBER $UBER
#BYND $BYND 
#TSLA $TSLA
#NVDA $NVDA https://t.co/oa8z1lew7J"
2023-04-17T07:12:59.000Z,1518654866574487555,"#CADCHF ALL targets hit! 70 pips profit✅🎯

Join our FREE telegram channel. Link in the bio.

#xauusd #eurusd #eurjpy #usdcad #usdjpy #gbpusd #tsla #aapl #spy #usoil #crudeoil #amzn #qqq #goog #forextrading #eth #nfts #crypto #btc #bitcoin https://t.co/Ui13pXnJTL"
2023-04-17T07:10:11.000Z,1532459874990407698,RT @Businesblog5: Tesla Cybertruck Owners Retain ‘Intent to Buy’ https://t.co/vy9IxRMnsn @Tesla #TSLA https://t.co/7BSc978koo
2023-04-17T07:10:00.000Z,1454807039222423554,RT @Businesblog5: Tesla Cybertruck Owners Retain ‘Intent to Buy’ https://t.co/vy9IxRMnsn @Tesla #TSLA https://t.co/7BSc978koo
2023-04-17T07:09:49.000Z,1357037977692758016,RT @Businesblog5: Tesla Cybertruck Owners Retain ‘Intent to Buy’ https://t.co/vy9IxRMnsn @Tesla #TSLA https://t.co/7BSc978koo
2023-04-17T07:09:36.000Z,1488878381454221315,RT @Businesblog5: Tesla Cybertruck Owners Retain ‘Intent to Buy’ https://t.co/vy9IxRMnsn @Tesla #TSLA https://t.co/7BSc978koo
2023-04-17T07:09:23.000Z,1351229750312886275,Tesla Cybertruck Owners Retain ‘Intent to Buy’ https://t.co/vy9IxRMnsn @Tesla #TSLA https://t.co/7BSc978koo
2023-04-17T07:06:29.000Z,995802800339726336,"RT @Karinar20002928: #NZDJPY ALL targets hit! 180 pips profit🎯

Join our FREE telegram channel. Link in the bio.

#xauusd #eurusd #eurjpy #…"
2023-04-17T07:06:27.000Z,995802800339726336,"RT @PanlopInthachot: #NZDJPY ALL targets hit! 180 pips profit🎯

Join our FREE telegram channel. Link in the bio.

#xauusd #eurusd #eurjpy #…"
2023-04-17T07:06:25.000Z,995802800339726336,"RT @QJPwUfBhFbCWj7Z: #GBPCAD ALL targets hit! 275 pips profit🎯✅🔥

Join our FREE telegram channel. Link in the bio.

#xauusd #eurusd #eurjpy…"
2023-04-17T07:06:24.000Z,995802800339726336,"RT @YTjSkwp8exBcdrj: #GBPAUD ALL targets hit! 185 pips profit✅🎯

Join our FREE telegram channel. Link in the bio.

#xauusd #eurusd #eurjpy…"
2023-04-17T07:05:33.000Z,1228298179356938245,"#GBPAUD ALL targets hit! 185 pips profit✅🎯

Join our FREE telegram channel. Link in the bio.

#xauusd #eurusd #eurjpy #usdcad #usdjpy #gbpusd #tsla #aapl #spy #forextrading #eth #nfts #crypto #amzn #qqq #goog #nasdaq #dji #spx #msft #nvda #wmt https://t.co/qwrgRSWCFW"
2023-04-17T07:04:46.000Z,163933734,"RT @ins_hea: 🔴#VeilleINSHEA 🔴 Le bulletin de veille Troubles spécifiques du #langage et des apprentissages est disponible !
(#dyslexie, #dy…"
2023-04-17T06:59:06.000Z,1230394534648926209,"#GBPCAD ALL targets hit! 275 pips profit🎯✅🔥

Join our FREE telegram channel. Link in the bio.

#xauusd #eurusd #eurjpy #usdcad #usdjpy #gbpusd #nasdaq #dji #spx #amzn #qqq #goog #forexsignals #forextrading #eth #nfts #crypto #tsla #aapl #spy https://t.co/5wYBvEhd65"
2023-04-17T06:56:35.000Z,766920910741737472,"RT @ins_hea: 🔴#VeilleINSHEA 🔴 Le bulletin de veille Troubles spécifiques du #langage et des apprentissages est disponible !
(#dyslexie, #dy…"
2023-04-17T06:51:40.000Z,1227379492605190144,"#NZDJPY ALL targets hit! 180 pips profit🎯

Join our FREE telegram channel. Link in the bio.

#xauusd #eurusd #eurjpy #usdcad #usdjpy #gbpusd #nasdaq #dji #spx #forextrading #amzn #qqq #goog #forexsignals #eth #nfts #crypto #tsla #aapl #spy https://t.co/9GOxu6KQgF"
2023-04-17T06:50:50.000Z,134153752,"RT @jayzpio: Reading #TSLA 🔋🚗 financial report with @LangChainAI 🦜⛓️ @streamlit  and Chatgpt

Fun weekend project, but 🤯. Imagine no longer…"
2023-04-17T06:48:24.000Z,336373376,"RT @jayzpio: Reading #TSLA 🔋🚗 financial report with @LangChainAI 🦜⛓️ @streamlit  and Chatgpt

Fun weekend project, but 🤯. Imagine no longer…"
